subject,session_i,session_j,pv_corr,ens_corr,day_distance,circadian_distance,circadian_distance_reported
UT14,Day12,Day19,0.7453265359216231,0.8716154141660898,7.0,0.6833333333333336,1.25
UT14,Day12,Day21,0.6103902334317204,0.8813662828892321,9.0,1.3166666666666664,0.36666666666666714
UT14,Day12,Day22,0.7014814203156512,0.8587982342362054,10.0,0.7833333333333332,0.05000000000000071
UT14,Day13,Day14,0.7639357657023916,0.9175991900940241,1.0,0.8166666666666664,7.833333333333334
UT14,Day13,Day15,0.7236009850500452,0.8765279632753952,2.0,0.34999999999999964,5.916666666666668
UT14,Day13,Day16,0.8561441694625158,0.87081019651251,3.0,1.3166666666666664,2.0666666666666664
UT14,Day13,Day17,0.5941879312508921,0.89783757007548,4.0,0.4166666666666661,5.566666666666666
UT14,Day13,Day18,0.7788396367289725,0.8528215526356688,5.0,0.9499999999999993,8.85
UT14,Day13,Day19,0.8203053623862588,0.8627771115705248,6.0,0.5166666666666657,9.783333333333333
UT14,Day13,Day21,0.7502919242685285,0.9279288392783221,8.0,0.11666666666666714,10.666666666666666
UT14,Day13,Day22,0.7050987834992993,0.8735561172664988,9.0,0.4166666666666661,11.083333333333334
UT14,Day14,Day15,0.8079913349152693,0.8736404913883928,1.0,0.4666666666666668,1.916666666666666
UT14,Day14,Day16,0.8429206377540115,0.864061199952711,2.0,0.5,5.7666666666666675
UT14,Day14,Day17,0.6464345550480288,0.8781412023660267,3.0,0.40000000000000036,2.2666666666666675
UT14,Day14,Day18,0.8476330037070888,0.825200144456604,4.0,0.13333333333333286,1.0166666666666657
UT14,Day14,Day19,0.8362239822957843,0.8793124439865521,5.0,0.3000000000000007,1.9499999999999993
UT14,Day14,Day21,0.5875782747773255,0.8844204331000574,7.0,0.9333333333333336,2.833333333333332
UT14,Day14,Day22,0.5953925900857646,0.8456572854785789,8.0,0.40000000000000036,3.25
UT14,Day15,Day16,0.8262197265288624,0.8754099670046005,1.0,0.9666666666666668,3.8500000000000014
UT14,Day15,Day17,0.5934665311417101,0.864399625268076,2.0,0.06666666666666643,0.3500000000000014
UT14,Day15,Day18,0.7988092135877486,0.8513833979998384,3.0,0.5999999999999996,2.933333333333332
UT14,Day15,Day19,0.8229120756650794,0.8733752619959009,4.0,0.16666666666666607,3.8666666666666654
UT14,Day15,Day21,0.5645434497266677,0.895156025292238,6.0,0.4666666666666668,4.749999999999998
UT14,Day15,Day22,0.6638319832230327,0.9111315875834018,7.0,0.06666666666666643,5.166666666666666
UT14,Day16,Day17,0.6779160484040341,0.9282593419499048,1.0,0.9000000000000004,3.5
UT14,Day16,Day18,0.8531720207502284,0.9127670185328148,2.0,0.36666666666666714,6.783333333333333
UT14,Day16,Day19,0.8444621747303435,0.890036599921105,3.0,0.8000000000000007,7.716666666666667
UT14,Day16,Day21,0.42647526325171453,0.8106255107056992,5.0,1.4333333333333336,8.6
UT14,Day16,Day22,0.5801069747411423,0.8491628276244922,6.0,0.9000000000000004,9.016666666666667
UT14,Day17,Day18,0.8422023718695053,0.9152623553297273,1.0,0.5333333333333332,3.283333333333333
UT14,Day17,Day19,0.763265097910977,0.8943482657588862,2.0,0.09999999999999964,4.216666666666667
UT14,Day17,Day21,0.21388848012516928,0.857519401389606,4.0,0.5333333333333332,5.1
UT14,Day17,Day22,0.3150864078430959,0.8144512720156414,5.0,0.0,5.5166666666666675
UT14,Day18,Day19,0.9291095905654122,0.9232478302241696,1.0,0.43333333333333357,0.9333333333333336
UT14,Day18,Day21,0.37925041276789134,0.836360556128519,3.0,1.0666666666666664,1.8166666666666664
UT14,Day18,Day22,0.46305460342308447,0.798001211266416,4.0,0.5333333333333332,2.2333333333333343
UT14,Day19,Day21,0.40173282070019933,0.8628723558526028,2.0,0.6333333333333329,0.8833333333333329
UT14,Day19,Day22,0.5524864561681903,0.818097125768744,3.0,0.09999999999999964,1.3000000000000007
UT14,Day21,Day22,0.6585058186352629,0.9271505303653249,1.0,0.5333333333333332,0.41666666666666785
UT13,REM_Sleep_20230914,REM_Sleep_20230914,0.9186431756447281,0.9714237108435224,0.0,0.0,0.0
