subject,session_i,session_j,zone_category,pv_corr,day_distance
UT14,Day4,Day21,corridor,0.598463238764375,18.0
UT14,Day4,Day22,corridor,0.6249664682692465,19.0
UT14,Day5,Day6,corridor,0.7081029901590925,1.0
UT14,Day5,Day7,corridor,0.5462709425078005,2.0
UT14,Day5,Day8,corridor,0.3941695764758998,3.0
UT14,Day5,Day9,corridor,0.31440917862467105,4.0
UT14,Day5,Day10,corridor,0.7195114135275138,6.0
UT14,Day5,Day11,corridor,0.3939199566832571,7.0
UT14,Day5,Day12,corridor,0.6691129462177474,8.0
UT14,Day5,Day13,corridor,0.6720738303940591,9.0
UT14,Day5,Day14,corridor,0.7019913243248054,10.0
UT14,Day5,Day15,corridor,0.547172725645503,11.0
UT14,Day5,Day16,corridor,0.5978684325018846,12.0
UT14,Day5,Day17,corridor,0.17764490191358714,13.0
UT14,Day5,Day18,corridor,0.3298249873039525,14.0
UT14,Day5,Day19,corridor,0.33125113589386884,15.0
UT14,Day5,Day21,corridor,0.5126150198280665,17.0
UT14,Day5,Day22,corridor,0.4558550137113024,18.0
UT14,Day6,Day7,corridor,0.8132516794031913,1.0
UT14,Day6,Day8,corridor,0.38962787633910834,2.0
UT14,Day6,Day9,corridor,0.36622134585063726,3.0
UT14,Day6,Day10,corridor,0.816722103590927,5.0
UT14,Day6,Day11,corridor,0.749187610289158,6.0
UT14,Day6,Day12,corridor,0.6747927113676615,7.0
UT14,Day6,Day13,corridor,0.7345212635817181,8.0
UT14,Day6,Day14,corridor,0.6176628230954967,9.0
UT14,Day6,Day15,corridor,0.5775192500958294,10.0
UT14,Day6,Day16,corridor,0.5354596408709574,11.0
UT14,Day6,Day17,corridor,0.10129680389308757,12.0
UT14,Day6,Day18,corridor,0.4028579492691772,13.0
UT14,Day6,Day19,corridor,0.34778531923898093,14.0
UT14,Day6,Day21,corridor,0.6072869972490755,16.0
UT14,Day6,Day22,corridor,0.6863269862909696,17.0
UT14,Day7,Day8,corridor,0.5998250834836198,1.0
UT14,Day7,Day9,corridor,0.4344799024736931,2.0
UT14,Day7,Day10,corridor,0.8320141081627253,4.0
UT14,Day7,Day11,corridor,0.723794029497599,5.0
UT14,Day7,Day12,corridor,0.6962382218015292,6.0
UT14,Day7,Day13,corridor,0.6805605410120792,7.0
UT14,Day7,Day14,corridor,0.6461530597261179,8.0
UT14,Day7,Day15,corridor,0.599282858712398,9.0
UT14,Day7,Day16,corridor,0.5671405202352587,10.0
UT14,Day7,Day17,corridor,0.2983164850839526,11.0
UT14,Day7,Day18,corridor,0.47106188580357006,12.0
UT14,Day7,Day19,corridor,0.521507698305828,13.0
UT14,Day7,Day21,corridor,0.6353645570498105,15.0
UT14,Day7,Day22,corridor,0.7913254624730359,16.0
UT14,Day8,Day9,corridor,0.5167157699362619,1.0
UT14,Day8,Day10,corridor,0.5856213850689224,3.0
UT14,Day8,Day11,corridor,0.4888960428675995,4.0
UT14,Day8,Day12,corridor,0.6749130118379403,5.0
UT14,Day8,Day13,corridor,0.7166138719881269,6.0
UT14,Day8,Day14,corridor,0.39973546466064497,7.0
UT14,Day8,Day15,corridor,0.27741176328895106,8.0
UT14,Day8,Day16,corridor,0.37989190605162193,9.0
UT14,Day8,Day17,corridor,0.4995500591804216,10.0
UT14,Day8,Day18,corridor,0.2409891948059069,11.0
UT14,Day8,Day19,corridor,0.2970187864767164,12.0
UT14,Day8,Day21,corridor,0.5202345094122288,14.0
UT14,Day8,Day22,corridor,0.40358463437007747,15.0
UT14,Day9,Day10,corridor,0.4808737705091642,2.0
UT14,Day9,Day11,corridor,0.3643289872838529,3.0
UT14,Day9,Day12,corridor,0.6507634618419892,4.0
UT14,Day9,Day13,corridor,0.488114379942589,5.0
UT14,Day9,Day14,corridor,0.33172248924969344,6.0
UT14,Day9,Day15,corridor,0.40753542718975294,7.0
UT14,Day9,Day16,corridor,0.23505311858961755,8.0
UT14,Day9,Day17,corridor,0.20046382713752017,9.0
UT14,Day9,Day18,corridor,0.17537170862268328,10.0
UT14,Day9,Day19,corridor,0.20322771691871583,11.0
UT14,Day9,Day21,corridor,0.5031419938777898,13.0
UT14,Day9,Day22,corridor,0.3560830919199431,14.0
UT14,Day10,Day11,corridor,0.7789537971083252,1.0
UT14,Day10,Day12,corridor,0.8563700847703362,2.0
UT14,Day10,Day13,corridor,0.8558750441609263,3.0
UT14,Day10,Day14,corridor,0.7299866571418491,4.0
UT14,Day10,Day15,corridor,0.7777765423787522,5.0
UT14,Day10,Day16,corridor,0.7473048513700716,6.0
UT14,Day10,Day17,corridor,0.4808964045040095,7.0
UT14,Day10,Day18,corridor,0.634582942300781,8.0
UT14,Day10,Day19,corridor,0.5918942834337451,9.0
UT14,Day10,Day21,corridor,0.723788763277033,11.0
UT14,Day10,Day22,corridor,0.7987075132321343,12.0
UT14,Day11,Day12,corridor,0.6347918535628381,1.0
UT14,Day11,Day13,corridor,0.6539871883088105,2.0
UT14,Day11,Day14,corridor,0.6839729346890406,3.0
UT14,Day11,Day15,corridor,0.5420302668599642,4.0
UT14,Day11,Day16,corridor,0.5549799191012316,5.0
UT14,Day11,Day17,corridor,0.43794793967305,6.0
UT14,Day11,Day18,corridor,0.5346441818577382,7.0
UT14,Day11,Day19,corridor,0.5580184208568579,8.0
UT14,Day11,Day21,corridor,0.5725438902369426,10.0
UT14,Day11,Day22,corridor,0.5670405921761297,11.0
UT14,Day12,Day13,corridor,0.8170423357757488,1.0
UT14,Day12,Day14,corridor,0.6635564606343991,2.0
UT14,Day12,Day15,corridor,0.6811334897564275,3.0
UT14,Day12,Day16,corridor,0.7152160364771154,4.0
UT14,Day12,Day17,corridor,0.6009342040000726,5.0
UT14,Day12,Day18,corridor,0.7048478114708417,6.0
UT14,Day12,Day19,corridor,0.7486344015385412,7.0
UT14,Day12,Day21,corridor,0.607723990787815,9.0
UT14,Day12,Day22,corridor,0.699825491613794,10.0
UT14,Day13,Day14,corridor,0.7624363603031429,1.0
UT14,Day13,Day15,corridor,0.7262748484038993,2.0
UT14,Day13,Day16,corridor,0.856245910837677,3.0
UT14,Day13,Day17,corridor,0.5911705861465194,4.0
UT14,Day13,Day18,corridor,0.7803254691682318,5.0
UT14,Day13,Day19,corridor,0.8235806321875281,6.0
UT14,Day13,Day21,corridor,0.7525534656128723,8.0
UT14,Day13,Day22,corridor,0.7034536121948409,9.0
UT14,Day14,Day15,corridor,0.8086890374100926,1.0
UT14,Day14,Day16,corridor,0.8416406974756913,2.0
UT14,Day14,Day17,corridor,0.6459004798091358,3.0
UT14,Day14,Day18,corridor,0.8453996834303188,4.0
UT14,Day14,Day19,corridor,0.831191113503761,5.0
UT14,Day14,Day21,corridor,0.584145151432115,7.0
UT14,Day14,Day22,corridor,0.5915664636222582,8.0
UT14,Day15,Day16,corridor,0.8297534282170074,1.0
UT14,Day15,Day17,corridor,0.5981871809493235,2.0
UT14,Day15,Day18,corridor,0.7978227259363007,3.0
UT14,Day15,Day19,corridor,0.8199008672667982,4.0
UT14,Day15,Day21,corridor,0.5569570060924712,6.0
