subject,session_id,true_start,true_hour,reported_session_start_time,reported_gap_minutes,n_units,n_tetrodes,session_duration_min,status
UT06,sub-UT06_ses-Day4_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3257804.4) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day5_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3349699.5) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day7_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3520688.1) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day8_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3605278.1) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day9_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3694997.7) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT08,sub-UT08_ses-Day1-Flavor_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3292976.8) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT08,sub-UT08_ses-Day2-Flavor_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3388220.8) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT08,sub-UT08_ses-Day4-AS-DNMP_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=845938.6) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT08,sub-UT08_ses-Day4-Flavor_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3556289.9) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT08,sub-UT08_ses-Day5-NS-DNMP_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=934532.4) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT08,sub-UT08_ses-Day6-Flavor_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3736214.1) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT08,sub-UT08_ses-Day7-Flavor_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3820453.9) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
Hisa,sub-Hisa_ses-Day1_ecephys.nwb,,,,,,,,SKIPPED: ValueError: no Position/SpatialSeries interface found
Hisa,sub-Hisa_ses-Day2_ecephys.nwb,,,,,,,,SKIPPED: ValueError: no Position/SpatialSeries interface found
Hisa,sub-Hisa_ses-Day3_ecephys.nwb,,,,,,,,SKIPPED: ValueError: no Position/SpatialSeries interface found
Hisa,sub-Hisa_ses-Day4_ecephys.nwb,,,,,,,,SKIPPED: ValueError: no Position/SpatialSeries interface found
Hisa,sub-Hisa_ses-Day5_ecephys.nwb,,,,,,,,SKIPPED: ValueError: no Position/SpatialSeries interface found
Hisa,sub-Hisa_ses-Day6_ecephys.nwb,,,,,,,,SKIPPED: ValueError: no Position/SpatialSeries interface found
